genome	biosample	clade	label
GCA_017976765.1_PDT000702205.1	SAMEA3304428	II	na
GCA_017976745.1_PDT000703526.1	SAMN05449867	II	human
GCA_017976725.1_PDT000703941.1	SAMN05832642	II	human
GCA_017976685.1_PDT000741814.1	SAMN12640108	II	human
GCA_017976645.1_PDT000741872.1	SAMN12639950	II	human
GCA_017976665.1_PDT000741868.1	SAMN12640019	II	human
GCA_017976625.1_PDT000820254.1	SAMN12916694	II	human
GCA_017976605.1_PDT000820234.1	SAMN12916712	II	human
GCA_017976565.1_PDT000974509.1	SAMN18085450	II	human
GCA_017976465.1_PDT000700148.1	SAMEA5368418	II	human
GCA_017976445.1_PDT000481379.1	SAMN11234179	II	animal
GCA_017977325.1_PDT000704299.1	SAMN08596118	II	human
GCA_017966945.1_PDT001005872.1	SAMEA8426459	II	human
GCA_017966885.1_PDT001005887.1	SAMEA8426474	II	human
GCA_017966625.1_PDT001005864.1	SAMEA8426450	II	human
GCA_017966585.1_PDT001005863.1	SAMEA8426449	II	human
GCA_017966605.1_PDT001005862.1	SAMEA8426448	II	human
GCA_017966555.1_PDT001005865.1	SAMEA8426451	II	human
GCA_017966545.1_PDT001005866.1	SAMEA8426452	II	human
GCA_017966525.1_PDT001005870.1	SAMEA8426456	II	human
GCA_017966505.1_PDT001005869.1	SAMEA8426455	II	human
GCA_017966485.1_PDT001005871.1	SAMEA8426457	II	human
GCA_017966465.1_PDT001005873.1	SAMEA8426460	II	human
GCA_017966445.1_PDT001005874.1	SAMEA8426461	II	human
GCA_017966425.1_PDT001005876.1	SAMEA8426463	II	human
GCA_017966405.1_PDT001005875.1	SAMEA8426462	II	human
GCA_017966385.1_PDT001005877.1	SAMEA8426464	II	human
GCA_017966365.1_PDT001005878.1	SAMEA8426465	II	human
GCA_017966345.1_PDT001005879.1	SAMEA8426466	II	human
GCA_017966325.1_PDT001005880.1	SAMEA8426467	II	human
GCA_017966305.1_PDT001005881.1	SAMEA8426468	II	human
GCA_017966285.1_PDT001005882.1	SAMEA8426469	II	human
GCA_017966265.1_PDT001005884.1	SAMEA8426471	II	human
GCA_017966245.1_PDT001005885.1	SAMEA8426472	II	human
GCA_017966225.1_PDT001005883.1	SAMEA8426470	II	human
GCA_017966205.1_PDT001005886.1	SAMEA8426473	II	human
GCA_017966165.1_PDT001005889.1	SAMEA8426476	II	human
GCA_017966185.1_PDT001005888.1	SAMEA8426475	II	human
GCA_017966145.1_PDT001005890.1	SAMEA8426477	II	human
GCA_017966105.1_PDT001005892.1	SAMEA8426479	II	human
GCA_017966125.1_PDT001005891.1	SAMEA8426478	II	human
GCA_017966085.1_PDT001005893.1	SAMEA8426480	II	human
GCA_017966065.1_PDT001005894.1	SAMEA8426481	II	human
GCA_017966045.1_PDT001005895.1	SAMEA8426482	II	human
GCA_017966025.1_PDT001005897.1	SAMEA8426484	II	human
GCA_017965985.1_PDT001005898.1	SAMEA8426485	II	human
GCA_017965885.1_PDT001005905.1	SAMEA8426458	II	human
GCA_017971685.1_PDT001005867.1	SAMEA8426453	II	human
GCA_017970185.1_PDT001005896.1	SAMEA8426483	II	human
GCA_017970165.1_PDT001005868.1	SAMEA8426454	II	human
GCA_017942585.1_ASM1794258v1	SAMN18529535	I	env
GCA_017942505.1_ASM1794250v1	SAMN18529541	II	env
GCA_017942445.1_ASM1794244v1	SAMN18529533	I	env
GCA_017942435.1_ASM1794243v1	SAMN18529539	I	env
GCA_017942425.1_ASM1794242v1	SAMN18529542	I	env
GCA_017942395.1_ASM1794239v1	SAMN18529534	I	env
GCA_017942385.1_ASM1794238v1	SAMN18529540	I	env
GCA_017942365.1_ASM1794236v1	SAMN18529537	I	env
GCA_017942335.1_ASM1794233v1	SAMN18529536	I	env
GCA_017939585.1_ASM1793958v1	SAMN18529543	I	env
GCA_017939215.1_ASM1793921v1	SAMN18529544	I	env
GCA_017939185.1_ASM1793918v1	SAMN18529538	I	env
GCA_017900535.1_PDT001003425.1	SAMN18323925	II	human
GCA_017898025.1_ASM1789802v1	SAMN18533778	II	human
GCA_017898005.1_ASM1789800v1	SAMN18533757	II	human
GCA_017897965.1_ASM1789796v1	SAMN18533763	II	human
GCA_017888145.1_ASM1788814v1	SAMN18359819	IV	animal
GCA_017887545.1_ASM1788754v1	SAMN18359847	II	animal
GCA_017874975.1_ASM1787497v1	SAMN18246711	IV	na
GCA_017874895.1_ASM1787489v1	SAMN18245307	I	na
GCA_017851515.1_ASM1785151v1	SAMN17614248	III	human
GCA_017845355.1_ASM1784535v1	SAMN09812576	I	animal
GCA_017830045.1_ASM1783004v1	SAMN16992986	I	animal
GCA_009498175.3_ASM949817v3	SAMN12272102	I	animal
GCA_017815695.1_ASM1781569v1	SAMN18533868	II	human
GCA_017815675.1_ASM1781567v1	SAMN18533866	II	human
GCA_017815655.1_ASM1781565v1	SAMN18533867	II	human
GCA_017807475.1_PDT000996241.1	SAMN18324275	II	human
